Program Version:,EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2023.05.24 12:43
Tabular Output Report in Format: ,Comma

Building:,US+SF+CZ6A+hp+slab+IECC_2021
Environment:,ANNUAL ** Rochester International Arpt MN USA TMY3 WMO#=726440

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over      8760.00 hours

Site and Source Energy

,,Total Energy [kBtu],Energy Per Total Building Area [kBtu/ft2],Energy Per Conditioned Building Area [kBtu/ft2]
,Total Site Energy,107437.80,45.20,90.39
,Net Site Energy,107437.80,45.20,90.39
,Total Source Energy,340255.51,143.14,286.28
,Net Source Energy,340255.51,143.14,286.28


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,1.200
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [ft2]
,Total Building Area,2377.10
,Net Conditioned Building Area,1188.55
,Unconditioned Building Area,1188.55


End Uses

,,Electricity [kBtu],Natural Gas [kBtu],Gasoline [kBtu],Diesel [kBtu],Coal [kBtu],Fuel Oil No 1 [kBtu],Fuel Oil No 2 [kBtu],Propane [kBtu],Other Fuel 1 [kBtu],Other Fuel 2 [kBtu],District Cooling [kBtu],District Heating [kBtu],Water [gal]
,Heating,68381.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,3974.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,1771.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,721.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,23052.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,5007.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,4527.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23512.13
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,
,Total End Uses,107437.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23512.13
Note: Electricity appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [kBtu],Natural Gas [kBtu],Gasoline [kBtu],Diesel [kBtu],Coal [kBtu],Fuel Oil No 1 [kBtu],Fuel Oil No 2 [kBtu],Propane [kBtu],Other Fuel 1 [kBtu],Other Fuel 2 [kBtu],District Cooling [kBtu],District Heating [kBtu],Water [gal]
,,Space Type,Electricity [kBtu],Natural Gas [kBtu],Gasoline [kBtu],Diesel [kBtu],Coal [kBtu],Fuel Oil No 1 [kBtu],Fuel Oil No 2 [kBtu],Propane [kBtu],Other Fuel 1 [kBtu],Other Fuel 2 [kBtu],District Cooling [kBtu],District Heating [kBtu],Water [gal]
,Heating,Unassigned,68381.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,Unassigned,3974.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,GENERAL,1771.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,Unassigned,721.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,GENERAL,23052.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,Unassigned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,Unassigned,5007.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,Unassigned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,Unassigned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,Unassigned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,Unassigned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,Unassigned,4527.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23512.13
,Refrigeration,Unassigned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,Unassigned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


Normalized Metrics
Utility Use Per Conditioned Floor Area

,,Electricity Intensity [kBtu/ft2],Natural Gas Intensity [kBtu/ft2],Gasoline Intensity [kBtu/ft2],Diesel Intensity [kBtu/ft2],Coal Intensity [kBtu/ft2],Fuel Oil No 1 Intensity [kBtu/ft2],Fuel Oil No 2 Intensity [kBtu/ft2],Propane Intensity [kBtu/ft2],Other Fuel 1 Intensity [kBtu/ft2],Other Fuel 2 Intensity [kBtu/ft2],District Cooling Intensity [kBtu/ft2],District Heating Intensity [kBtu/ft2],Water Intensity [gal/ft2]
,Lighting,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,HVAC,68.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.78
,Other,19.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Total,90.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.78


Utility Use Per Total Floor Area

,,Electricity Intensity [kBtu/ft2],Natural Gas Intensity [kBtu/ft2],Gasoline Intensity [kBtu/ft2],Diesel Intensity [kBtu/ft2],Coal Intensity [kBtu/ft2],Fuel Oil No 1 Intensity [kBtu/ft2],Fuel Oil No 2 Intensity [kBtu/ft2],Propane Intensity [kBtu/ft2],Other Fuel 1 Intensity [kBtu/ft2],Other Fuel 2 Intensity [kBtu/ft2],District Cooling Intensity [kBtu/ft2],District Heating Intensity [kBtu/ft2],Water Intensity [gal/ft2]
,Lighting,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,HVAC,34.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.89
,Other,9.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Total,45.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.89


Electric Loads Satisfied

,,Electricity [kBtu],Percent Electricity [%]
,Fuel-Fired Power Generation,0.000,0.00
,High Temperature Geothermal*,0.000,0.00
,Photovoltaic Power,0.000,0.00
,Wind Power,0.000,0.00
,Power Conversion,0.000,0.00
,Net Decrease in On-Site Storage,0.000,0.00
,Total On-Site Electric Sources,0.000,0.00
,,,
,Electricity Coming From Utility,107437.798,100.00
,Surplus Electricity Going To Utility,0.000,0.00
,Net Electricity From Utility,107437.798,100.00
,,,
,Total On-Site and Utility Electric Sources,107437.798,100.00
,Total Electricity End Uses,107437.798,100.00


On-Site Thermal Sources

,,Heat [kBtu],Percent Heat [%]
,Water-Side Heat Recovery,0.00,
,Air to Air Heat Recovery for Cooling,0.00,
,Air to Air Heat Recovery for Heating,0.00,
,High-Temperature Geothermal*,0.00,
,Solar Water Thermal,0.00,
,Solar Air Thermal,0.00,
,Total On-Site Thermal Sources,0.00,


Water Source Summary

,,Water [gal],Percent Water [%]
,Rainwater Collection,0.00,0.00
,Condensate Collection,0.00,0.00
,Groundwater Well,0.00,0.00
,Total On Site Water Sources,0.00,0.00
,-,-,-
,Initial Storage,0.00,0.00
,Final Storage,0.00,0.00
,Change in Storage,0.00,0.00
,-,-,-
,Water Supplied by Utility,23512.13,100.00
,-,-,-
,Total On Site, Change in Storage, and Utility Water Sources,23512.13,100.00
,Total Water End Uses,23512.13,100.00


Setpoint Not Met Criteria

,,Degrees [deltaF]
,Tolerance for Zone Heating Setpoint Not Met Time,0.36
,Tolerance for Zone Cooling Setpoint Not Met Time,0.36


Comfort and Setpoint Not Met Summary

,,Facility [Hours]
,Time Setpoint Not Met During Occupied Heating,538.00
,Time Setpoint Not Met During Occupied Cooling,33.00
,Time Not Comfortable Based on Simple ASHRAE 55-2004,2694.33


Note 1: An asterisk (*) indicates that the feature is not yet implemented.
----------------------------------------------------------------------------------------------------
REPORT:,Input Verification and Results Summary
FOR:,Entire Facility
General

,,Value
,Program Version and Build,EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2023.05.24 12:43
,RunPeriod,ANNUAL
,Weather File,Rochester International Arpt MN USA TMY3 WMO#=726440
,Latitude [deg],43.90
,Longitude [deg],-92.5
,Elevation [ft],1305.84
,Time Zone,-6.0
,North Axis Angle [deg],0.00
,Rotation for Appendix G [deg],0.00
,Hours Simulated [hrs],8760.00


ENVELOPE
Window-Wall Ratio

,,Total,North (315 to 45 deg),East (45 to 135 deg),South (135 to 225 deg),West (225 to 315 deg)
,Gross Wall Area [ft2],2516.92,676.95,581.50,676.95,581.50
,Above Ground Wall Area [ft2],2516.92,676.95,581.50,676.95,581.50
,Window Opening Area [ft2],355.40,88.85,88.85,88.85,88.85
,Gross Window-Wall Ratio [%],14.12,13.12,15.28,13.12,15.28
,Above Ground Window-Wall Ratio [%],14.12,13.12,15.28,13.12,15.28


Conditioned Window-Wall Ratio

,,Total,North (315 to 45 deg),East (45 to 135 deg),South (135 to 225 deg),West (225 to 315 deg)
,Gross Wall Area [ft2],2369.34,676.95,507.72,676.95,507.72
,Above Ground Wall Area [ft2],2369.34,676.95,507.72,676.95,507.72
,Window Opening Area [ft2],355.40,88.85,88.85,88.85,88.85
,Gross Window-Wall Ratio [%],15.00,13.12,17.50,13.12,17.50
,Above Ground Window-Wall Ratio [%],15.00,13.12,17.50,13.12,17.50


Skylight-Roof Ratio

,,Total
,Gross Roof Area [ft2],1252.01
,Skylight Area [ft2],0.00
,Skylight-Roof Ratio [%],0.00


PERFORMANCE
Zone Summary

,,Area [ft2],Conditioned (Y/N),Part of Total Floor Area (Y/N),Volume [ft3],Multipliers,Above Ground Gross Wall Area [ft2],Underground Gross Wall Area [ft2],Window Glass Area [ft2],Opening Area [ft2],Lighting [Btu/h-ft2],People [ft2 per person],Plug and Process [Btu/h-ft2]
,LIVING_UNIT1,1188.55,Yes,Yes,10105.74,1.00,2369.34,0.00,355.40,355.40,0.4851,396.18,3.9741
,ATTIC_UNIT1,1188.55,No,Yes,2937.46,1.00,147.58,0.00,0.00,0.00,0.0000,,0.0000
,Total,2377.10,,,13043.20,,2516.92,0.00,355.40,355.40,0.2426,792.37,1.9870
,Conditioned Total,1188.55,,,10105.74,,2369.34,0.00,355.40,355.40,0.4851,396.18,3.9741
,Unconditioned Total,1188.55,,,2937.46,,147.58,0.00,0.00,0.00,0.0000,,0.0000
,Not Part of Total,0.00,,,0.00,,0.00,0.00,0.00,0.00,,,


Space Summary

,,Area [ft2],Conditioned (Y/N),Part of Total Floor Area (Y/N),Multipliers,Zone Name,Space Type,Radiant/Solar Enclosure Name,Lighting [Btu/h-ft2],People [ft2 per person],Plug and Process [Btu/h-ft2],Tags
,LIVING_UNIT1,1188.55,Yes,Yes,1.00,LIVING_UNIT1,GENERAL,LIVING_UNIT1,0.4851,396.18,3.9741,
,ATTIC_UNIT1,1188.55,No,Yes,1.00,ATTIC_UNIT1,GENERAL,ATTIC_UNIT1,0.0000,0.00,0.0000,
,Total,2377.10,,,,,,,0.2426,792.37,1.9870,
,Conditioned Total,1188.55,,,,,,,0.4851,396.18,3.9741,
,Unconditioned Total,1188.55,,,,,,,0.0000,0.00,0.0000,
,Not Part of Total,0.00,,,,,,,0.0000,0.00,0.0000,


Space Type Summary

,,Total Area [ft2],Conditioned Area [ft2],Unconditioned Area [ft2],Not Part of Total Area [ft2],Lighting [Btu/h-ft2],People [ft2 per person],Plug and Process [Btu/h-ft2]
,GENERAL,2377.10,1188.55,1188.55,0.00,0.2426,792.37,1.9870
,Total,2377.10,1188.55,1188.55,0.00,,,


----------------------------------------------------------------------------------------------------
REPORT:,Demand End Use Components Summary
FOR:,Entire Facility
End Uses

,,Electricity [kBtuh],Natural Gas [kBtuh],Gasoline [kBtuh],Diesel [kBtuh],Coal [kBtuh],Fuel Oil No 1 [kBtuh],Fuel Oil No 2 [kBtuh],Propane [kBtuh],Other Fuel 1 [kBtuh],Other Fuel 2 [kBtuh],District Cooling [kBtuh],Steam [kBtuh],Water [gal/min]
,Time of Peak,28-JAN-10:19,-,-,-,-,-,-,-,-,-,-,-,01-JAN-08:19
,Heating,38.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,2.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,1.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,
,Total End Uses,43.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08


End Uses By Subcategory

,,Subcategory,Electricity [kBtuh],Natural Gas [kBtuh],Gasoline [kBtuh],Diesel [kBtuh],Coal [kBtuh],Fuel Oil No 1 [kBtuh],Fuel Oil No 2 [kBtuh],Propane [kBtuh],Other Fuel 1 [kBtuh],Other Fuel 2 [kBtuh],District Cooling [kBtuh],Steam [kBtuh],Water [gal/min]
,Heating,General,38.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,General,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,Exterior-Lights,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,Garage-Lights,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,dishwasher,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,refrigerator,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,clotheswasher,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,electric_dryer,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,electric_range,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,television,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,electric_mels,1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,IECC_adj,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,General,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,Ventilation,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,Ventilation (simple),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,Domestic Hot Water,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08
,,Water Heater,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,Water Heater Parasitic,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,Source Energy End Use Components Summary
FOR:,Entire Facility
Values gathered over      8760.00 hours

Source Energy End Use Components Summary

,,Source Electricity [kBtu],Source Natural Gas [kBtu],Source Gasoline [kBtu],Source Diesel [kBtu],Source Coal [kBtu],Source Fuel Oil No 1 [kBtu],Source Fuel Oil No 2 [kBtu],Source Propane [kBtu],Source Other Fuel 1 [kBtu],Source Other Fuel 2 [kBtu],Source District Cooling [kBtu],Source District Heating [kBtu]
,Heating,216563.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,12588.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,5610.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,2285.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
